YEAR,MO,DY,T2M,T2MDEW,T2MWET,T2M_MAX,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,GWETTOP,GWETROOT,GWETPROF
1981,5,18,26.83,18.32,22.58,33.84,28.08,14.47,63,0.25,91.46,5.56,292.56,7.29,293.31,-999,-999,-999,0.49,0.53,0.54
1981,5,19,27.81,18.31,23.06,35.3,29.05,14.53,60.75,0.02,91.36,5.7,292.56,7.64,293.5,-999,-999,-999,0.48,0.53,0.53
1981,5,20,27.2,16.3,21.75,34.77,28.46,13,57.81,0,91.38,5.49,292.25,7.38,292.62,-999,-999,-999,0.48,0.52,0.53
1981,5,21,27.34,17.01,22.18,34.73,28.9,13.43,58.81,0,91.4,3.97,272.06,5.37,272.5,-999,-999,-999,0.48,0.52,0.53
1981,5,22,27.35,17.96,22.65,34.73,29.62,14.16,60.88,0.16,91.47,3.37,242.25,4.56,242.5,-999,-999,-999,0.48,0.52,0.52
1981,5,23,27.26,17.83,22.55,33.98,29.55,14.04,59.88,0.01,91.5,3.92,275.06,5.23,275.69,-999,-999,-999,0.47,0.52,0.52
1981,5,24,28.16,17.83,23,34.87,30.85,14.04,56.56,0,91.39,3.34,291.12,4.41,292.38,-999,-999,-999,0.46,0.52,0.52
1981,5,25,27.3,18.7,23,33.37,29.2,14.83,61.81,0.66,91.4,3.14,207.25,4.33,207.38,-999,-999,-999,0.47,0.51,0.52
1981,5,26,26.45,19.65,23.05,31.18,27.55,15.69,68,3.81,91.47,3.26,255.5,4.4,258.31,-999,-999,-999,0.51,0.52,0.52
1981,5,27,25.84,19.24,22.54,30.15,26.59,15.32,68.81,0.47,91.43,3.8,294,5.14,294.62,-999,-999,-999,0.49,0.52,0.52
1981,5,28,27.27,19.87,23.57,33.06,28.14,15.99,66.5,17.12,91.27,2.34,238.25,3.38,239.25,-999,-999,-999,0.59,0.53,0.52
1981,5,29,26.93,20.97,23.95,31.98,27.69,17.09,72.19,9.44,91.29,2.68,204.94,3.64,205.62,-999,-999,-999,0.6,0.55,0.54
1981,5,30,25.55,21.33,23.44,29.35,26.23,17.46,79,16.06,91.36,3.57,281.5,4.93,282.38,-999,-999,-999,0.62,0.56,0.55
1981,5,31,24.84,20.53,22.69,28.68,25.4,16.6,78.19,0.11,91.47,4.02,261.12,5.45,261.44,-999,-999,-999,0.57,0.57,0.55
1981,6,1,24.71,19.73,22.23,30.45,25.95,15.75,75.88,0.55,91.51,4.93,244.12,6.41,244.12,-999,-999,-999,0.54,0.56,0.55
1981,6,2,23.78,19.42,21.6,28.02,24.43,15.44,78.06,1.45,91.61,4.8,226.94,6.4,228,-999,-999,-999,0.54,0.56,0.55
1981,6,3,23.55,17.51,20.54,30.01,24.64,13.79,72.62,31.78,91.54,7.36,229.25,9.42,229.88,-999,-999,-999,0.62,0.57,0.56
